WeekID,Week Position,Song,Performer,SongID
2013-03-23,1,Harlem Shake,Baauer,Harlem ShakeBaauer
2013-03-30,1,Harlem Shake,Baauer,Harlem ShakeBaauer
2013-04-06,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,Thrift ShopMacklemore & Ryan Lewis Featuring Wanz
2013-04-13,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,Thrift ShopMacklemore & Ryan Lewis Featuring Wanz
2013-04-20,1,When I Was Your Man,Bruno Mars,When I Was Your ManBruno Mars
2013-04-27,1,Just Give Me A Reason,P!nk Featuring Nate Ruess,Just Give Me A ReasonP!nk Featuring Nate Ruess
2013-05-04,1,Just Give Me A Reason,P!nk Featuring Nate Ruess,Just Give Me A ReasonP!nk Featuring Nate Ruess
2013-05-11,1,Just Give Me A Reason,P!nk Featuring Nate Ruess,Just Give Me A ReasonP!nk Featuring Nate Ruess
2013-05-18,1,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold UsMacklemore & Ryan Lewis Featuring Ray Dalton
2013-05-25,1,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold UsMacklemore & Ryan Lewis Featuring Ray Dalton
2013-06-01,1,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold UsMacklemore & Ryan Lewis Featuring Ray Dalton
2013-06-08,1,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold UsMacklemore & Ryan Lewis Featuring Ray Dalton
2013-06-15,1,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold UsMacklemore & Ryan Lewis Featuring Ray Dalton
2013-06-22,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred LinesRobin Thicke Featuring T.I. + Pharrell
2013-06-29,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred LinesRobin Thicke Featuring T.I. + Pharrell
2013-07-06,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred LinesRobin Thicke Featuring T.I. + Pharrell
2013-07-13,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred LinesRobin Thicke Featuring T.I. + Pharrell
2013-07-20,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred LinesRobin Thicke Featuring T.I. + Pharrell
2013-07-27,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred LinesRobin Thicke Featuring T.I. + Pharrell
2013-08-03,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred LinesRobin Thicke Featuring T.I. + Pharrell
2013-08-10,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred LinesRobin Thicke Featuring T.I. + Pharrell
2013-08-17,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred LinesRobin Thicke Featuring T.I. + Pharrell
2013-08-24,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred LinesRobin Thicke Featuring T.I. + Pharrell
2013-08-31,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred LinesRobin Thicke Featuring T.I. + Pharrell
2013-09-07,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred LinesRobin Thicke Featuring T.I. + Pharrell
2013-09-14,1,Roar,Katy Perry,RoarKaty Perry
2013-09-21,1,Roar,Katy Perry,RoarKaty Perry
2013-09-28,1,Wrecking Ball,Miley Cyrus,Wrecking BallMiley Cyrus
2013-10-05,1,Wrecking Ball,Miley Cyrus,Wrecking BallMiley Cyrus
2013-10-12,1,Royals,Lorde,RoyalsLorde
2013-10-19,1,Royals,Lorde,RoyalsLorde
2013-10-26,1,Royals,Lorde,RoyalsLorde
2013-11-02,1,Royals,Lorde,RoyalsLorde
2013-11-09,1,Royals,Lorde,RoyalsLorde
2013-11-16,1,Royals,Lorde,RoyalsLorde
2013-11-23,1,Royals,Lorde,RoyalsLorde
2013-11-30,1,Royals,Lorde,RoyalsLorde
2013-12-07,1,Royals,Lorde,RoyalsLorde
2013-12-14,1,Wrecking Ball,Miley Cyrus,Wrecking BallMiley Cyrus
2013-12-21,1,The Monster,Eminem Featuring Rihanna,The MonsterEminem Featuring Rihanna
2013-12-28,1,The Monster,Eminem Featuring Rihanna,The MonsterEminem Featuring Rihanna
2014-01-04,1,The Monster,Eminem Featuring Rihanna,The MonsterEminem Featuring Rihanna
2014-01-11,1,The Monster,Eminem Featuring Rihanna,The MonsterEminem Featuring Rihanna
2014-01-18,1,Timber,Pitbull Featuring Ke$ha,TimberPitbull Featuring Ke$ha
2014-01-25,1,Timber,Pitbull Featuring Ke$ha,TimberPitbull Featuring Ke$ha
2014-02-01,1,Timber,Pitbull Featuring Ke$ha,TimberPitbull Featuring Ke$ha
