Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Name
2005-01-03,1211.920044,1217.800049,1200.319946,1202.079956,1202.079956,1510800000,2005,1,3,Monday
2005-01-10,1186.189941,1194.780029,1184.800049,1190.25,1190.25,1490400000,2005,1,10,Monday
2005-01-24,1167.869995,1173.030029,1163.75,1163.75,1163.75,1494600000,2005,1,24,Monday
2005-01-31,1171.359985,1182.069946,1171.359985,1181.27002,1181.27002,1679800000,2005,1,31,Monday
2005-02-07,1203.030029,1204.150024,1199.27002,1201.719971,1201.719971,1347270000,2005,2,7,Monday
2005-02-14,1205.300049,1206.930054,1203.589966,1206.140015,1206.140015,1290180000,2005,2,14,Monday
2005-02-28,1211.369995,1211.369995,1198.130005,1203.599976,1203.599976,1795480000,2005,2,28,Monday
2005-03-07,1222.119995,1229.109985,1222.119995,1225.310059,1225.310059,1488830000,2005,3,7,Monday
2005-03-14,1200.079956,1206.829956,1199.51001,1206.829956,1206.829956,1437430000,2005,3,14,Monday
2005-03-21,1189.650024,1189.650024,1178.819946,1183.780029,1183.780029,1819440000,2005,3,21,Monday
2005-03-28,1171.420044,1179.910034,1171.420044,1174.280029,1174.280029,1746220000,2005,3,28,Monday
2005-04-04,1172.790039,1178.609985,1167.719971,1176.119995,1176.119995,2079770000,2005,4,4,Monday
2005-04-11,1181.199951,1184.069946,1178.689941,1181.209961,1181.209961,1525310000,2005,4,11,Monday
2005-04-18,1142.619995,1148.920044,1139.800049,1145.97998,1145.97998,2180670000,2005,4,18,Monday
2005-04-25,1152.119995,1164.050049,1152.119995,1162.099976,1162.099976,1795030000,2005,4,25,Monday
2005-05-02,1156.849976,1162.869995,1154.709961,1162.160034,1162.160034,1980040000,2005,5,2,Monday
2005-05-09,1171.349976,1178.869995,1169.380005,1178.839966,1178.839966,1857020000,2005,5,9,Monday
2005-05-16,1154.050049,1165.75,1153.640015,1165.689941,1165.689941,1856860000,2005,5,16,Monday
2005-05-23,1189.280029,1197.439941,1188.76001,1193.859985,1193.859985,1681170000,2005,5,23,Monday
2005-06-06,1196.02002,1198.780029,1192.75,1197.51001,1197.51001,1547120000,2005,6,6,Monday
2005-06-13,1198.109985,1206.030029,1194.51001,1200.819946,1200.819946,1661350000,2005,6,13,Monday
2005-06-20,1216.959961,1219.099976,1210.650024,1216.099976,1216.099976,1714530000,2005,6,20,Monday
2005-06-27,1191.569946,1194.329956,1188.300049,1190.689941,1190.689941,1738620000,2005,6,27,Monday
2005-07-11,1211.859985,1220.030029,1211.859985,1219.439941,1219.439941,1846300000,2005,7,11,Monday
2005-07-18,1227.920044,1227.920044,1221.130005,1221.130005,1221.130005,1582100000,2005,7,18,Monday
2005-07-25,1233.680054,1238.359985,1228.150024,1229.030029,1229.030029,1717580000,2005,7,25,Monday
2005-08-01,1234.180054,1239.099976,1233.800049,1235.349976,1235.349976,1716870000,2005,8,1,Monday
2005-08-08,1226.420044,1232.280029,1222.670044,1223.130005,1223.130005,1804140000,2005,8,8,Monday
