Date,Open,High,Low,Close,Adj Close,Volume,Day,Weekly_Ret,2Weekly_Ret,LogWeekly_Ret,Log2Weekly_Ret,4Weekly_Ret,Log4_Weekly
07-01-05,1187.890015,1192.199951,1182.160034,1186.189941,1186.189941,1477900000,6,0,0,,,,
14-01-05,1177.449951,1185.209961,1177.449951,1184.52002,1184.52002,1335400000,6,-0.001407802,0,-0.001408794,,,
21-01-05,1175.410034,1179.449951,1167.819946,1167.869995,1167.869995,1643500000,6,-0.014056347,-0.015444361,-0.014156074,-0.015564868,,
28-01-05,1174.550049,1175.609985,1166.25,1171.359985,1171.359985,1641800000,6,0.002988338,-0.011110015,0.002983882,-0.011172192,,
04-02-05,1189.890015,1203.469971,1189.670044,1203.030029,1203.030029,1648160000,6,0.027036986,0.03010612,0.026677944,0.029661826,0.014196789,0.014096958
11-02-05,1197.01001,1208.380005,1193.280029,1205.300049,1205.300049,1562300000,6,0.001886919,0.028974922,0.001885141,0.028563085,0.017542995,0.017390893
18-02-05,1200.75,1202.920044,1197.349976,1201.589966,1201.589966,1551200000,6,-0.003078141,-0.00119703,-0.003082888,-0.001197747,0.028873052,0.028464079
25-02-05,1200.199951,1212.150024,1199.609985,1211.369995,1211.369995,1523680000,6,0.00813924,0.005036046,0.008106295,0.005023407,0.034156886,0.033586492
04-03-05,1210.469971,1224.76001,1210.469971,1222.119995,1222.119995,1636820000,6,0.00887425,0.017085719,0.008835105,0.0169414,0.015868237,0.015743653
11-03-05,1209.25,1213.040039,1198.150024,1200.079956,1200.079956,1449820000,6,-0.018034268,-0.009320058,-0.018198867,-0.009363762,-0.004330949,-0.004340355
18-03-05,1190.209961,1191.97998,1182.780029,1189.650024,1189.650024,2344370000,6,-0.008691031,-0.026568562,-0.008729018,-0.026927885,-0.009936786,-0.009986485
01-04-05,1180.589966,1189.800049,1169.910034,1172.920044,1172.920044,2168690000,6,-0.014062943,-0.022631752,-0.014162763,-0.022891781,-0.031740881,-0.032255543
08-04-05,1191.140015,1191.75,1181.130005,1181.199951,1181.199951,1661330000,6,0.007059225,-0.007102991,0.007034426,-0.007128337,-0.033482837,-0.034056222
15-04-05,1162.050049,1162.050049,1141.920044,1142.619995,1142.619995,2689960000,6,-0.032661664,-0.025833005,-0.033206963,-0.026172537,-0.047880111,-0.049064318
22-04-05,1159.949951,1159.949951,1142.949951,1152.119995,1152.119995,2045880000,6,0.008314225,-0.024618995,0.008279852,-0.02492711,-0.031547117,-0.032055447
29-04-05,1143.219971,1156.969971,1139.189941,1156.849976,1156.849976,2362360000,6,0.004105459,0.012453818,0.004097054,0.012376907,-0.013700907,-0.01379563
06-05-05,1172.630005,1177.75,1170.5,1171.349976,1171.349976,1707200000,6,0.012534037,0.016690953,0.012456136,0.01655319,-0.008338956,-0.00837392
13-05-05,1159.359985,1163.75,1146.180054,1154.050049,1154.050049,2188590000,6,-0.014769221,-0.002420303,-0.014879372,-0.002423236,0.010003373,0.00995367
20-05-05,1191.079956,1191.219971,1185.189941,1189.280029,1189.280029,1631750000,6,0.030527255,0.01530717,0.030070569,0.015191197,0.032253614,0.031744387
27-05-05,1197.619995,1199.560059,1195.280029,1198.780029,1198.780029,1381430000,6,0.007988026,0.038759134,0.007956291,0.03802686,0.036245022,0.035603624
03-06-05,1204.290039,1205.089966,1194.550049,1196.02002,1196.02002,1627520000,6,-0.002302348,0.005667287,-0.002305003,0.005651288,0.021061207,0.020842485
10-06-05,1200.930054,1202.790039,1192.640015,1198.109985,1198.109985,1664180000,6,0.001747433,-0.000558938,0.001745908,-0.000559095,0.038178531,0.037467765
17-06-05,1210.930054,1219.550049,1210.930054,1216.959961,1216.959961,2407370000,6,0.015733093,0.017508019,0.015610611,0.017356519,0.023274529,0.023007807
